1/631,"21.422232, 39.897022",Tent
2/631,"21.421977, 39.896309",Tent
3/631,"21.423065, 39.896916",Tent
4/631,"21.423164, 39.896263",Tent
3/631,"21.424534, 39.897022",Tent
5/631,"21.425452, 39.897022",Tent
4/631,"21.424421, 39.896279",Tent
6/631,"21.425452, 39.896279",Tent
8/631,"21.426370, 39.896742",Tent
1/633,"21.426554, 39.897500",Tent
3/633,"21.425110, 39.897572",Tent
7/637,"21.425412, 39.898204",Tent
5/637,"21.424891, 39.898168",Tent
13/025,"21.425211, 39.899467",Tent
11/025,"21.424505, 39.899160",Tent
4/637,"21.424354, 39.898709",Tent
9/025,"21.423447, 39.898853",Tent
2/637,"21.423329, 39.898457",Tent
4/637,"21.423716, 39.898438",Tent
2/637,"21.424068, 39.897717",Tent
3/637,"21.424623, 39.898060",Tent
23/062,"21.412638, 39.887459",Tent
21/062,"21.412940, 39.887170",Tent
19/062,"21.413478, 39.886629",Tent
17/062,"21.413830, 39.886304",Tent
15/062,"21.414107, 39.885952",Tent
13/062,"21.414435, 39.885582",Tent
18/204,"21.414863, 39.886638",Tent
20/204,"21.414511, 39.887107",Tent
22/204,"21.414175, 39.887576",Tent
24/204,"21.413696, 39.888018",Tent
29/204,"21.414141, 39.888343",Tent
20/206,"21.414578, 39.889047",Tent
16/206,"21.414947, 39.888551",Tent
25/204,"21.414754, 39.887603",Tent
13/206,"21.415107, 39.889137",Tent
7/206,"21.416031, 39.887883",Tent
5/206,"21.416703, 39.886918",Tent
1/208,"21.415678, 39.890346",Tent
41/068,"21.416123, 39.888740",Tent
4/212,"21.416325, 39.889498",Tent
35/056,"21.409176, 39.890194",Tent
36/062,"21.409796, 39.889390",Tent
29/056,"21.410445, 39.888574",Tent
34/062,"21.410924, 39.888081",Tent
32/062,"21.411304, 39.887716",Tent
25/056,"21.411444, 39.887308",Tent
28/062,"21.411863, 39.887169",Tent
21/056,"21.412273, 39.886686",Tent
24/062,"21.412942, 39.886450",Tent
17/056,"21.412742, 39.885667",Tent
20/062,"21.413551, 39.885946",Tent
13/056,"21.413302, 39.884991",Tent
16/062,"21.414111, 39.885324",Tent
9/056,"21.414021, 39.884079",Tent
7/056,"21.414370, 39.883628",Tent
12/062,"21.415010, 39.884229",Tent
10/062,"21.415479, 39.883918",Tent
8/062,"21.415809, 39.883639",Tent
6/062,"21.416238, 39.883339",Tent
4/062,"21.416777, 39.882684",Tent
14/204,"21.415629, 39.885560",Tent
11/062,"21.415010, 39.884916",Tent
12/204,"21.416168, 39.884916",Tent
9/062,"21.415679, 39.884294",Tent
7/062,"21.416088, 39.883897",Tent
8/204,"21.416917, 39.883682",Tent
12/206,"21.415679, 39.887502",Tent
21/204,"21.415179, 39.886793",Tent
8/206,"21.416118, 39.886911",Tent
17/204,"21.415859, 39.885978",Tent
4/206,"21.416708, 39.886042",Tent
13/204,"21.416258, 39.885485",Tent
3/056,"21.415629, 39.882137",Tent
4/056,"21.415000, 39.881998",Tent
6/056,"21.414370, 39.882899",Tent
8/056,"21.413611, 39.883940",Tent
10/056,"21.412732, 39.884970",Tent
12/056,"21.411913, 39.885935",Tent
16/056,"21.410785, 39.887308",Tent
20/056,"21.409686, 39.888585",Tent
24/056,"21.408737, 39.889561",Tent
11/050,"21.414360, 39.881998",Tent
13/050,"21.413451, 39.883231",Tent
1/110,"21.412932, 39.882974",Tent
3/110,"21.412667, 39.883800",Tent
5/110,"21.412008, 39.884572",Tent
25/038,"21.411239, 39.885012",Tent
24/50,"21.413116, 39.880999",Tent
26/50,"21.412777, 39.881396",Tent
14/108,"21.412467, 39.880538",Tent
16/108,"21.411838, 39.881053",Tent
6/110,"21.413756, 39.880592",Tent
1/201,"21.413206, 39.880248",Tent
32/50,"21.410999, 39.885656",Tent
34/50,"21.410659, 39.886106",Tent
1/044,"21.410050, 39.885688",Tent
27/038,"21.410410, 39.885184",Tent
36/050,"21.410190, 39.886460",Tent
5/044,"21.409541, 39.886407",Tent
40/50,"21.409900, 39.887168",Tent
9/049,"21.409211, 39.886857",Tent
42/050,"21.408991, 39.888070",Tent
45/038,"21.406070, 39.889749",Tent
47/038,"21.405860, 39.890081",Tent
51/038,"21.405450, 39.890854",Tent
16/044,"21.406809, 39.890221",Tent
18/044,"21.406449, 39.890618",Tent
20/044,"21.405880, 39.891412",Tent
22/044,"21.405011, 39.892270",Tent
26/044,"21.404351, 39.893043",Tent
28/044,"21.403972, 39.893504",Tent
30/044,"21.403462, 39.894158",Tent
33/044,"21.403782, 39.894459",Tent
64/050,"21.403452, 39.895199",Tent
2/312,"21.405021, 39.889298",Tent
1/25,"21.404591, 39.888901",Tent
4/312,"21.404641, 39.889416",Tent
6/312,"21.404961, 39.890146",Tent
54/038,"21.404222, 39.889802",Tent
56/038,"21.404411, 39.890521",Tent
6/038,"21.402873, 39.894148",Tent
64/038,"21.403183, 39.893450",Tent
62/038,"21.403462, 39.892871",Tent
60/038,"21.403732, 39.892345",Tent
58/038,"21.403932, 39.891819",Tent
28/056,"21.407740, 39.891339",Tent
30/056,"21.407006, 39.892614",Tent
32/056,"21.406299, 39.893569",Tent
34/056,"21.405607, 39.894313",Tent
36/056,"21.404802, 39.895102",Tent
