188,"21.388004, 39.881784",Buildings
187,"21.387951, 39.881606",Buildings
183,"21.387873, 39.881214",Buildings
242,"21.387893, 39.878514",Buildings
251,"21.389186, 39.878558",Buildings
252,"21.389097, 39.878494",Buildings
250,"21.389238, 39.878322",Buildings
253,"21.390559, 39.876928",Buildings
254,"21.390551, 39.876940",Buildings
258,"21.388629, 39.876768",Buildings
249,"21.388480, 39.877827",Buildings
255,"21.388385, 39.877912",Buildings
259,"21.388355, 39.877915",Buildings
260,"21.388245, 39.878479",Buildings
Indian Haj Pilgrims Office,"21.388292, 39.878479",General
261,"21.388105, 39.877553",Buildings
262,"21.387589, 39.878163",Buildings
220,"21.387589, 39.878163",Buildings
263,"21.387379, 39.878279",Buildings
264,"21.387025, 39.878576",Buildings
266,"21.387689, 39.877885",Buildings
265,"21.386459, 39.878144",Buildings
218,"21.387899, 39.878880",Buildings
284,"21.386601, 39.876619",Buildings
286,"21.387900, 39.875924",Buildings
295,"21.387558, 39.876191",Buildings
294,"21.387216, 39.878070",Buildings
296,"21.387069, 39.878114",Buildings
297,"21.387031, 39.877521",Buildings
300,"21.387345, 39.877740",Buildings
301,"21.387210, 39.877638",Buildings
302,"21.387323, 39.877759",Buildings
304,"21.387315, 39.878450",Buildings
303,"21.387504, 39.878046",Buildings
305,"21.387479, 39.878046",Buildings
377,"21.387636, 39.877836",Buildings
306,"21.388992, 39.877879",Buildings
307,"21.389221, 39.877431",Buildings
308,"21.387382, 39.877502",Buildings
309,"21.387357, 39.877473",Buildings
310,"21.387358, 39.877472",Buildings
378,"21.387491, 39.877251",Buildings
312,"21.387509, 39.877647",Buildings
311,"21.387498, 39.877701",Buildings
Bus stand 11,"21.387362, 39.877432",General
289,"21.387189, 39.878263",Buildings
292,"21.387188, 39.878263",Buildings
317,"21.386513, 39.877949",Buildings
313,"21.386541, 39.877790",Buildings
326,"21.388130, 39.876509",Buildings
337,"21.387923, 39.876068",Buildings
339,"21.388207, 39.875987",Buildings
340,"21.387740, 39.875518",Buildings
330,"21.384854, 39.875918",Buildings
331,"21.385054, 39.875824",Buildings
335,"21.387801, 39.875943",Buildings
334,"21.387622, 39.876400",Buildings
333,"21.387378, 39.877823",Buildings
332,"21.386182, 39.877432",Buildings
323,"21.386145, 39.877769",Buildings
293,"21.386225, 39.878705",Buildings
344,"21.392738, 39.874754",Buildings
343,"21.392332, 39.873408",Buildings
354,"21.392476, 39.873460",Buildings
357,"21.393478, 39.873105",Buildings
346,"21.391866, 39.873412",Buildings
345,"21.392208, 39.873543",Buildings
352,"21.393545, 39.873911",Buildings
350,"21.393584, 39.873849",Buildings
348,"21.392654, 39.875009",Buildings
349,"21.392666, 39.875022",Buildings
353,"21.393479, 39.873956",Buildings
380,"21.393481, 39.873956",Buildings
359,"21.394051, 39.873372",Buildings
356,"21.394156, 39.873372",Buildings
360,"21.395001, 39.872604",Buildings
359A,"21.394532, 39.872990",Buildings
361,"21.395860, 39.872739",Buildings
362,"21.395854, 39.872731",Buildings
363,"21.395675, 39.872699",Buildings
364,"21.395553, 39.872613",Buildings
358,"21.393956, 39.873226",Buildings
372,"21.393952, 39.873302",Buildings
374,"21.392863, 39.871625",Buildings
373,"21.392862, 39.871627",Buildings
369,"21.393330, 39.871264",Buildings
370,"21.393921, 39.871063",Buildings
368,"21.393690, 39.870974",Buildings
371,"21.393512, 39.871559",Buildings
381,"21.394101, 39.870266",Buildings
367,"21.393968, 39.870463",Buildings
366,"21.393789, 39.870728",Buildings
329,"21.384933, 39.875729",Buildings
328,"21.384844, 39.876589",Buildings
316,"21.384847, 39.876587",Buildings
327,"21.384798, 39.876497",Buildings
325,"21.386045, 39.876534",Buildings
338,"21.386325, 39.876423",Buildings
355,"21.393315, 39.873479",Buildings
347,"21.391423, 39.873947",Buildings
379,"21.394591, 39.871184",Buildings
Al Harithi,"21.393837, 39.872582",Masjid
Al Basir,"21.393690, 39.872153",Hotels
Pharmacy - Quraish,"21.393430, 39.872684",General
Qasr Al Khaima,"21.393135, 39.873381",Hotels
Sheikh Abdullah Al Thuwaijiri,"21.391407, 39.873807",Masjid
Makkah Hotel Pakistani,"21.394486, 39.870505",Restaurants
Ibn Ammar,"21.396684, 39.876309",Masjid
Bank Al Riyadh,"21.405836, 39.871546",Bank/ATM
Market - Souq Al Salam,"21.405780, 39.870852",General
Tazaj,"21.406299, 39.872182",Restaurants
Asian Polyclinic,"21.408147, 39.869881",Hospital
Garden - Al Wafaa,"21.393911, 39.877193",General
Bin Dehaish,"21.398206, 39.877182",Masjid
Football Statidum,"21.387570, 39.877705",General
NCB Quick Pay,"21.388309, 39.873853",Bank/ATM
Waqf Makkah Al Mukarramah,"21.402356, 39.865600",General
College - Aziziyah,"21.404024, 39.867721",General
